[2025-01-28T06:30:24.702+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:24.822+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:24.900+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:30:29.732+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:29.738+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:29.740+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:30:34.754+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:34.762+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:34.764+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:30:39.807+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:39.829+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:39.834+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:30:44.847+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:44.856+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:44.857+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:30:50.822+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:50.941+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:50.945+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:30:55.856+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:30:55.863+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:30:55.864+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:31:00.874+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:31:00.879+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
[2025-01-28T06:31:00.881+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:31:05.906+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:31:05.917+0000] {subprocess.py:106} INFO - ic| file: '***tmp6cz7r4zb'
