[2025-01-28T06:17:17.403+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:17.405+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:22.408+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:22.409+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:22.411+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:27.411+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:27.413+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:27.415+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:32.414+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:32.417+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:32.418+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:37.417+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:37.419+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:37.420+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:42.487+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:42.489+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:42.491+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:47.490+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:47.492+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:47.494+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:52.492+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
[2025-01-28T06:17:52.493+0000] {subprocess.py:106} INFO - ic| file: 'pymp-qmczygfr'
[2025-01-28T06:17:52.495+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:17:57.495+0000] {subprocess.py:106} INFO - ic| file: '***tmpv6n3z5_h'
