[2025-01-28T06:48:01.187+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:06.185+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:06.187+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:06.189+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:11.189+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:11.192+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:11.194+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:16.190+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:16.191+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:16.193+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:21.192+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:21.193+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:21.194+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:26.195+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:26.197+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:26.198+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:31.198+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:31.199+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:31.200+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:36.201+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:36.204+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:36.206+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:41.205+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:41.207+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:41.209+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:46.207+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:46.210+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:46.211+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
[2025-01-28T06:48:51.210+0000] {subprocess.py:106} INFO - ic| file: '***tmptz3g16e7'
[2025-01-28T06:48:51.211+0000] {subprocess.py:106} INFO - ic| file: 'pymp-hmyjbm0g'
[2025-01-28T06:48:51.212+0000] {subprocess.py:106} INFO - ic| file: 'hsperfdata_root'
